2021-04-14/22:58:19		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-04-14/22:58:20		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-04-14/22:58:21		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-04-14/22:58:21		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-04-14/22:58:22		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-04-14/22:58:23		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-04-14/22:58:24		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-04-14/22:58:25		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-04-14/22:58:26		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-04-14/23:05:03		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-04-14/23:05:03		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-04-14/23:05:04		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-04-14/23:05:05		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-04-14/23:05:05		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-04-14/23:05:06		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-04-14/23:05:07		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-04-14/23:05:08		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-04-14/23:05:09		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-04-14/23:08:16		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-04-14/23:08:17		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-04-14/23:08:17		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-04-14/23:08:18		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-04-14/23:08:19		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-04-14/23:08:20		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-04-14/23:08:20		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-04-14/23:08:21		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-04-14/23:08:22		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-04-14/23:11:23		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-04-14/23:11:23		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-04-14/23:11:24		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-04-14/23:11:25		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-04-14/23:11:25		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-04-14/23:11:26		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-04-14/23:11:27		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-04-14/23:11:28		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-04-14/23:11:28		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-04-14/23:14:03		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-04-14/23:14:04		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-04-14/23:14:05		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-04-14/23:14:05		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-04-14/23:14:06		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-04-14/23:14:07		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-04-14/23:14:08		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-04-14/23:14:09		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-04-14/23:14:09		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-04-14/23:30:32		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-04-14/23:30:33		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-04-14/23:30:33		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-04-14/23:30:34		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-04-14/23:30:35		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-04-14/23:30:35		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-04-14/23:30:36		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-04-14/23:30:37		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-04-14/23:30:38		 wafer_29012020_050617.csv: File Transformed successfully!!
